keys,en,zh_TW
ui_app_title,"Bridging","橋接 Bridging"
ui_round1_title,"Round 1 — Draw a Role","Round 1｜角色抽卡"
ui_phase_background,"Public Background","公開背景"
ui_phase_guess_prompt,"Guess: how would this role feel about the market redevelopment?","猜猜看：這個角色會怎麼看市場改建這件事？"
ui_button_reveal,"Reveal","翻牌揭曉"
ui_phase_monologue_title,"Inner Monologue","內心獨白"
ui_button_next,"Next Card","下一張"
ui_button_prev,"Previous Card","上一張"
ui_button_lang,"Switch Language","切換語言"
ui_card_counter,"Card","第"
ui_card_counter_of,"of","張，共"
card1_name,"A-Ze, 26, Part-time Market Worker","阿澤，26歲，市場兼職工讀生"
card1_bg,"Moved from southern Taiwan for work, renting alone, contract designer by day, works a braised-food stall at night to pay off student loans.","北漂租屋，白天在設計公司當約聘，晚上在市場一家滷味攤打工還學貸。"
card1_mono,"Everyone assumes someone my age wants the old market torn down for something shinier. But if this stall closes, I lose the income that covers my rent. I actually want them to slow down.","大家都以為我這種年輕人巴不得市場拆掉重建、蓋新大樓比較潮。但我打工的攤位如果收掉，我晚上這份收入就沒了，房租我付不出來。我反而希望動作慢一點。"
card2_name,"Chief Chen, 58, Neighborhood Chief","陳里長，58歲，市場旁社區里長"
card2_bg,"Retired mid-level civil servant, now elected neighborhood chief, regularly speaks for residents at community meetings.","退休前是市府基層公務員，現任里長，常在里民大會上代表居民發言。"
card2_mono,"People assume an old civil servant like me automatically sides with city hall. What actually worries me is that emotional soundbites from meetings get clipped into news footage, making it look like there are only two sides — nobody hears the quiet majority who just want a clear timeline.","外面都覺得我這種老公務員一定挺市府、覺得攤商無理取鬧。其實我最擔心的是里民大會上那些情緒發言被剪成新聞畫面，讓大家以為只有兩種立場，沒人聽到中間那群『只是想知道時程』的人。"
card3_name,"Sister Mei-fen, 45, Second-generation Stall Owner","美芬姐，45歲，市場老攤商第二代"
card3_bg,"Took over her parents' stall 15 years ago; hoping her own child might eventually take it over too.","從父母手上接下滷味攤已15年，現在也計畫讓自己的孩子未來接班。"
card3_mono,"People assume I'll fight any change to protect the old market. I actually know the building really is unsafe. What scares me is losing income during reconstruction, and not being able to afford rent in the new building — I'm not against rebuilding, I'm asking whether I'll still have a place after it's done.","大家以為我一定死守老市場、反對任何改變。其實我知道建築真的有安全問題，我更怕的是重建期間收入斷炊，還有新大樓蓋好後房租我付不起、被財團擠出去——我要的不是『不要拆』，是『拆了以後我還在不在』。"
card4_name,"Old Master Wu, 72, Founding-generation Stall Owner","老吳伯，72歲，市場創始老攤商"
card4_bg,"One of the market's original vendors from its opening decades ago; physically he was already planning to retire in the next few years anyway.","市場開市第一批攤商之一，體力已經沒辦法再撐太久，其實原本就打算這幾年退休。"
card4_mono,"People assume a vendor as old as me will fight tooth and nail to save the old market. Honestly, my body can't keep up anyway — this redevelopment could be my dignified exit. What actually makes me angry is that quote from the councilor being twisted, making it look like we old folks only want more compensation money.","外面都覺得像我這種老攤商一定捨不得老市場、堅決反對改建。老實講，我體力早就撐不住了，改建對我來說反而是體面退場的機會——我更氣的是，議員那句話被斷章取義，好像我們這些老人只想要更多補償金。"
card5_name,"Xiao Lin, 35, Newly Arrived Parent","小林，35歲，新搬入的家長"
card5_bg,"Moved near the market two years ago; child attends the elementary school next door; shops at the market regularly.","兩年前搬到市場附近，小孩在旁邊的國小就讀，平常會去市場買菜。"
card5_mono,"People assume a newcomer like me only cares whether property values rise or the neighborhood looks nicer. What I actually worry about is the construction site sitting right on my kid's route to school, and where I'll even buy groceries — and stay connected to this community — while the market is closed.","大家都以為像我這種新住戶只在乎房價會不會漲、市容好不好看。我真正擔心的是重建期間工地就在小孩上學的必經之路上，還有市場關掉那幾年，我要去哪裡買菜、接觸這個社區。"
card6_name,"Officer Chang, 50, City Redevelopment Case Officer","張專員，50歲，市府都更承辦公務員"
card6_bg,"The administrative point-of-contact handling this redevelopment case; fields complaint calls and protesters daily.","負責這件都更案的行政窗口，天天面對陳情電話與抗議民眾。"
card6_mono,"People assume a bureaucrat like me is just running cover for developers, coldly following procedure. Truthfully I don't even know yet whether on-site relocation will actually work out — I haven't seen the bidding results either. I'm caught in the middle, and both sides think I'm lying to them.","大家覺得我這種公務員一定是幫財團說話、冷血照SOP走。其實我自己也不知道最後會不會真的原地安置成功，招標結果我也還沒看到——我夾在中間，兩邊都覺得我在騙他們。"
ui_menu_title,"Bridging","橋接 Bridging"
ui_menu_subtitle,"A Workshop Game for Bridging Social Divides","降低社會對立的工作坊互動遊戲"
ui_menu_round1,"Round 1 — Draw a Role","Round 1｜角色抽卡"
ui_menu_round2,"Round 2 — Information Bubble","Round 2｜資訊同溫層模擬"
ui_menu_round3,"Round 3 — Structured Listening","Round 3｜結構化聆聽對話"
ui_menu_quit,"Quit","離開"
ui_button_back_menu,"Back to Menu","回主選單"
ui_round2_title,"Round 2 — Information Bubble Simulation","Round 2｜資訊同溫層模擬"
ui_mode_browse,"Browse","瀏覽"
ui_button_ground_truth,"Reveal Ground Truth","顯示地面真相"
ui_round2_ground_truth_title,"Ground Truth","地面真相"
ui_button_debrief,"Debrief","討論問題"
ui_round2_debrief_title,"Debrief Questions","討論問題"
ui_button_facilitator_note,"Show Facilitator Note","顯示引導員筆記"
r2_pack_a_name,"Elder LINE Group Forwards","長輩 LINE 群組轉發風格"
r2_pack_a_frame,"Framing traits: conspiracy/betrayal narrative, nostalgic emotion, unverified sources, default distrust of government and corporations.","框架特徵：陰謀/背叛敘事、懷念情緒、無查證來源、對政府與財團的不信任預設。"
r2_pack_b_name,"Youth IG Stories / Memes","年輕人 IG 限動／迷因風格"
r2_pack_b_frame,"Framing traits: assumes generational conflict (elders block progress), entertainment-driven and decontextualized, binary polls manufacture false consensus, downplays vendors' real livelihood pressure.","框架特徵：世代對立預設（老人反對進步）、娛樂化/去脈絡化、二元投票製造虛假共識、輕忽攤商實際生計壓力。"
r2_pack_c_name,"In-depth Reporting / Podcast","深度報導／Podcast 聽眾風格"
r2_pack_c_frame,"Framing traits: surface-level balance, favors procedure over emotion, can make objectors seem irrational — a subtle elite-perspective bias.","框架特徵：表面平衡、重程序輕情感，容易讓人覺得反對者只是不理性——隱性菁英視角偏誤。"
r2_pack_d_name,"Official Community Bulletin","里辦公處公告／官方語氣風格"
r2_pack_d_frame,"Framing traits: official tone creates a false sense that 'everything is under control,' but selectively omits real points of contention — also a form of distortion.","框架特徵：官方語氣製造『一切都在掌控中』的安心感，但選擇性省略真實爭點，同樣是一種扭曲。"
r2_a1,"URGENT SHARE: The central market is really being swallowed by developers!! The market we grew up with! The government is basically seizing it for corporations, everyone needs to unite!! (Shared 47 times)","⚠️緊急擴散⚠️ 中央市場真的要被財團吃掉了！！我們從小逛到大的市場！政府根本是幫財團徵收，大家要團結起來！！（已轉發 47 次）"
r2_a2,"Heard the vendor reps went to protest, and the councilor actually said 'the vendors just want more money' — that's outrageous, no sympathy at all for ordinary people's hardship.","聽說攤商代表去抗議，議員居然說『攤商就是要更多錢』，太過分了，都不體諒老百姓的辛苦"
r2_a3,"This is our memory. The government just tears it down without ever asking us old folks what we think. (Photo: old black-and-white picture of the market)","這是我們的回憶，政府說拆就拆，都不問問我們這些老人家的意見（配圖：舊市場黑白照片）"
r2_a4,"Someone in the group said they already found evidence of a construction scandal — sounds like there really is something shady going on. Everyone watch out for your stalls.","群組裡有人說工程弊案已經抓到證據了，看來真的有黑箱，大家小心自己的攤位"
r2_b1,"Market redevelopment renderings leaked — new influencer photo spot? Sure, a bunch of elders are crying about 'losing their memories,' okay, understood, but this building is genuinely unsafe though.","市場改建示意圖流出，網美打卡新聖地？🏙️✨ 就是一堆長輩在哭喊『回憶不見了』，好的，理解，但這棟真的很危險吧"
r2_b2,"Do you support redeveloping the old market? Support progress / Preserve history (Poll result: 72% vs 28%)","你支持老市場改建嗎？👍支持進步 / 👎保留歷史（投票結果 72% vs 28%）"
r2_b3,"Every single time something new gets built, there's always a group opposing it. Maybe it's time to let the city move forward lol","每次要蓋新的東西，一定有一群人出來反對，是不是應該讓城市進步一下了 lol"
r2_b4,"Comment: typical vested interests who don't want to move / Comment: hey that's not fair, the vendors need to make a living too","留言：又是既得利益者不想搬 / 留言：欸這樣講不太好吧攤商也是要吃飯"
r2_c1,"This episode features an urban planning scholar analyzing the technical safety report on the aging market structure, and discussing legal gaps in Taiwan's redevelopment procedures... (22 min)","本集邀請都市規劃學者，分析老舊市場結構安全的技術報告，並探討台灣都更程序的法制缺陷……（22 分鐘）"
r2_c2,"Procedurally, the city government did conduct an open bidding process in accordance with the law; no vendor has been awarded the contract yet, and the 'scandal' rumors circulating have no evidence so far.","就程序而言，市府確實依法辦理公開招標，目前尚未有廠商得標，坊間流傳的『弊案』說法目前查無實據。"
r2_c3,"Notably, redevelopment disputes tend to focus on procedural justice while rarely discussing the short-term livelihood impact on affected people — a long-standing structural problem in Taiwan's urban redevelopment.","值得注意的是，都更爭議往往聚焦於程序正義，卻較少討論受影響者的短期生計衝擊，這也是台灣都更長期的結構性問題。"
r2_d1,"Fenghe City Government Notice: The Central Market redevelopment case is currently undergoing lawful bidding procedures. Vendor rights will be properly handled per the relocation plan. Please do not believe unfounded rumors.","風禾市政府公告：中央市場改建案現正依法辦理招標作業，各攤商權益將依安置辦法妥善處理，請民眾勿聽信不實謠言。"
r2_d2,"Neighborhood chief's announcement: the market redevelopment is for everyone's safety. The city government will take good care of every vendor — please cooperate with confidence.","里長廣播：市場改建是為了大家的安全著想，市府會照顧好每一位攤商，請大家放心配合。"
r2_d3,"FAQ: Q: Will vendors be forced to relocate? A: Absolutely not, the city guarantees on-site relocation.","常見問答：Q攤商是否會被迫遷離？A絕不會，市府保證原地安置。"
r2_ground_truth,"A structural engineer's report confirmed the market building has safety concerns and needs rebuilding. The city's plan is on-site reconstruction in two phases, with vendors relocated on-site to temporary stalls during construction. Some vendors worry they can't survive the revenue drop during the temporary period, and fear being priced out by rent increases once the market becomes a modern complex. A councilor said at a forum, 'It's not ruled out that some vendors privately asked for higher compensation — preliminary coordination has occurred,' a quote that was later taken out of context and spread in several distorted versions. No developer has won the bid yet — it's just one stage of the city's open tender. The 'construction scandal' rumor circulating online has no evidence and stems from someone misreading budget figures in the public bidding documents.","結構技師報告確認市場建物有安全疑慮，需重建。市府方案是原地重建、分兩期施工，租戶原地安置，期間搭臨時攤位。部分攤商擔心臨時安置期間營收撐不住，也怕新商場化後租金被財團擠出。一名議員在座談會說過『不排除有攤商私下要求更高額補償，已有初步協調』，這句話後來被斷章取義流傳成好幾個版本。財團尚未得標，只是市府招標開放中的其中一階段。網路流傳的『工程弊案』指控查無實據，源自有人誤讀公開招標文件裡的預算數字。"
r2_debrief_1,"Which line in your envelope turned out to be 'partly true but distorted'?","你手上信封裡，哪一句話後來被證實是「部分正確但被扭曲」？"
r2_debrief_2,"Was there a post that wasn't false, but whose tone or framing gave you an emotional stance before you saw the facts?","有沒有一則貼文，內容並非假的，但語氣或框架讓你在看到事實前就已經有情緒立場？"
r2_debrief_3,"Among the four bubbles, is there one you'd normally never encounter? If you'd only seen another group's version, what would you think of this now?","四種同溫層裡，有沒有哪一種你平常完全不會接觸到？如果你只看過另一組的版本，你猜你現在會怎麼想這件事？"
r2_debrief_4,"In this exercise, which affected your judgment more: 'lying' or 'selectively presenting facts'?","這個練習裡，「說謊」和「選擇性呈現事實」哪一種對你的判斷影響更大？"
ui_round3_title,"Round 3 — Structured Listening Dialogue","Round 3｜結構化聆聽對話"
ui_button_prev_phase,"Previous","上一步"
ui_button_next_phase,"Next","下一步"
ui_button_start_timer,"Start Timer (90s)","開始計時（90秒）"
ui_button_pause_timer,"Pause","暫停"
ui_button_reset_timer,"Reset","重設"
ui_timer_done,"Time's up — swap roles","時間到，交換角色"
r3_consent_title,"Informed Consent & Opt-out","知情同意與退出機制"
r3_consent_text,"In this round, we'll ask everyone to share their real views on a real issue. This isn't a debate — no one needs to convince anyone. If you feel uncomfortable at any point, you can say 'I'll pass' without explanation. What's said here stays in this room — please don't repeat who said what once you leave.","接下來這輪，我們會請大家談自己對一個真實議題的真實想法。這不是辯論賽，沒有人需要說服誰。任何人如果覺得不舒服，可以隨時說『我先跳過』，不需要解釋原因。這裡說的內容，離開這個房間後請不要轉述是誰說了什麼。"
r3_ground_rules_title,"Explicit Ground Rules","明確禁止事項"
r3_ground_rules_text,"No attacking others with party labels ('you people from XX party always...')\nNo personal attacks or motive-guessing ('you must think that because...')\nOnly share 'how this actually affects me' — no abstract ideological debate","禁止用政黨標籤攻擊對方（「你們XX黨的都……」）\n禁止人身攻擊或動機揣測（「你會這樣想一定是因為……」）\n只能講「這件事對我的實際影響」，不能講抽象意識形態辯論"
r3_phase_topic_title,"Select Topic","選擇議題"
r3_topic1_name,"Energy & Electricity Pricing","能源與電價"
r3_topic1_framing,"The next decade's nuclear phase-out debate, renewable energy buildout pace, and electricity price adjustments — touching energy stability and living/industrial costs.","未來十年的核能存廢、綠能建設進度、電價調整，牽涉能源穩定與生活/產業成本。"
r3_topic2_name,"Long-term Care Resource Allocation","長照資源分配"
r3_topic2_framing,"Long-term care budgets, migrant caregiver policy, and how the burden on family caregivers should be divided.","長照預算、外籍看護政策、家庭照顧者的負擔怎麼分。"
r3_topic3_name,"Military Conscription System","兵役制度"
r3_topic3_framing,"Length of service, reservist training content, and the tradeoff between young people's career plans and national defense needs.","役期長度、教召內容、青年生涯規劃與國防需求的權衡。"
r3_topic4_name,"Housing Justice / Social Housing","居住正義／社宅"
r3_topic4_framing,"Social housing construction progress, housing price/rent burden, and redevelopment vs. existing residents' rights.","社會住宅興建進度、房價房租負擔、都更與既有住戶權益。"
r3_technique_title,"Speaker-Listener Technique","複述回應法"
r3_technique_text,"A speaks (max 90 sec): only share 'how this actually affects me or my family...'\nB reflects back: 'I heard you say ___, is that right?' No adding their own opinion.\nA confirms or corrects; B reflects again as needed until A confirms.\nOnce confirmed, swap roles and repeat for at least three rounds.","A 發言（最多 90 秒）：只能講「這件事對我個人/我家人的實際影響是……」\nB 複述：「我聽到你說的是＿＿＿，這樣理解對嗎？」不能加自己的意見。\nA 確認或修正，B 視需要再複述一次，直到 A 確認為止。\nA 確認後交換角色，重複至少三輪來回。"
r3_checklist_title,"Reflection Checklist","複述檢核卡"
r3_checklist_text,"'I heard that...'\n'Is what you actually care about ___ rather than the surface issue?'\n'It sounds like this makes you feel ___ (emotion word)'\n⚠️ Reflecting back is not agreeing — it just confirms you understood.","「我聽到的是……」\n「你是不是在意的其實是……而不是表面上那件事？」\n「聽起來這件事讓你覺得＿＿＿（情緒詞）」\n⚠️ 複述不是同意，只是確認你聽懂了。"
ui_round3_phase_common_ground,"Finding Common Ground","尋找共通點"
r3_common_ground_q,"Was there something you assumed the other person wouldn't agree with, but after listening you realized you actually agree?","有沒有一件事，是你原本以為對方不會同意，但剛才聽完後發現其實你們是同意的？"
r3_proposal_title,"Joint Micro-Proposal","共擬微型提案"
r3_proposal_text,"Write one concrete, actionable proposal that addresses at least one concern from each side. Example format: 'Proposal: reservist training should include ___, while the day cap stays at ___, balancing ___ and ___.'","寫出一條具體、可執行的小提案，必須同時回應到至少一個 A 方在意的點和一個 B 方在意的點。範例格式：「提案：教召內容應納入＿＿＿，同時教召天數上限維持＿＿＿天，以兼顧＿＿＿與＿＿＿。」"
ui_round3_phase_thermometer,"Temperature Check","溫度計檢查"
r3_thermometer_text,"On a scale of 1–10, what's the temperature in the room right now?\n7 or above: pause immediately, lead a breathing break, or move to debrief early.","1到10分，現在房間的溫度幾分？\n7分以上：立即暫停，帶大家深呼吸，或提前 debrief。"
ui_round3_phase_debrief,"Debrief","討論回顧"
r3_debrief_1,"What did it feel like to have your words reflected back? How is that different from being interrupted in a normal argument?","被複述自己的話是什麼感覺？跟平常吵架時被打斷的感覺有什麼不同？"
r3_debrief_2,"What did you assume the other person thought? Where was the gap once you actually heard them?","你原本以為對方會怎麼想這件事？實際聽到之後，落差在哪裡？"
r3_debrief_3,"When drafting the joint proposal, what did you give up? What did the other person give up?","剛才共擬提案時，你放棄了什麼？對方放棄了什麼？"
r3_debrief_4,"If you brought this 'reflect before responding' rule home to your family dinner table or group chats, what do you think would happen?","如果把這個「先複述再回應」的規則，帶回你家的餐桌或群組對話，你覺得會發生什麼事？"
r3_facilitator_note_title,"Facilitator Qualification Note","引導員資格與訓練提醒"
r3_facilitator_note_text,"This round carries the highest risk. Facilitators without basic training shouldn't run it. At minimum they need: practice safely pausing at temperature 8, familiarity with reframing language, and clear organizational backup.","這輪風險最高，不建議讓沒有基礎引導員訓練的人主持，至少需要：練習過在情緒溫度8分時安全喊停、熟悉重新框架話術、有清楚的組織支持。"
ui_menu_multiplayer,"Multiplayer","多人遊戲"
ui_lobby_title,"Multiplayer Lobby","多人遊戲大廳"
ui_lobby_host_mode,"Host Game","建立房間"
ui_lobby_join_mode,"Join Game","加入房間"
ui_lobby_create_room,"Create Room","建立房間"
ui_lobby_start_game,"Start Game","開始遊戲"
ui_lobby_players,"Players","玩家列表"
ui_lobby_nickname_placeholder,"Enter nickname","輸入暱稱"
ui_lobby_ip_placeholder,"Enter host IP address","輸入主機 IP"
ui_lobby_connect,"Connect","加入"
ui_lobby_connecting,"Connecting...","連線中……"
ui_lobby_connect_failed,"Connection failed - check the IP address","連線失敗，請確認 IP 是否正確"
ui_lobby_waiting_host,"Joined - waiting for host to start...","已加入，等待主持人開始遊戲……"
ui_lobby_your_address,"Your room address","你的房間位址"
ui_button_next_round,"Next Round","前往下一輪"
ui_lobby_you_are_host,"You are the host","你是這場遊戲的主持人"
ui_lobby_waiting_players,"Waiting for players to join...","等待玩家加入……"
ui_menu_local_preview,"Local Preview (solo)","本機預覽（單機）"
